id,user_id,sender_id,type,title,body,procurement_id,reply_to,is_read,emailed_at,created_at
1,1,,status_change,Tender published: TB-2026-611,Supplies of bed has been published and is now visible to registered bidders.,2.0,,False,,2026-08-31 21:32:30.570
2,8,,status_change,Tender published: TB-2026-611,Supplies of bed has been published and is now visible to registered bidders.,2.0,,True,,2026-08-31 21:32:30.620
3,1,,status_change,Submissions open: TB-2026-611,Bid submission is now open for Supplies of bed. Deadline: 2026-09-01 00:32:00.,2.0,,False,,2026-08-31 21:32:32.220
4,8,,status_change,Submissions open: TB-2026-611,Bid submission is now open for Supplies of bed. Deadline: 2026-09-01 00:32:00.,2.0,,True,,2026-08-31 21:32:32.253
5,2,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder Construction has submitted proof of payment (Ref: REF/123, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 21:33:32.267
6,3,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder Construction has submitted proof of payment (Ref: REF/123, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 21:33:32.283
7,8,,payment_approved,Payment Approved — Tender Documents Unlocked (TB-2026-611),Your payment (Ref: REF/123) for Supplies of bed has been verified and approved. You now have access to view and download the ITT document.,2.0,,True,2026-08-31 23:34:08.017,2026-08-31 21:34:03.100
8,2,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder BURSS has submitted proof of payment (Ref: REF/123, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 21:38:46.387
9,3,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder BURSS has submitted proof of payment (Ref: REF/123, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 21:38:46.400
10,9,,payment_approved,Payment Approved — Tender Documents Unlocked (TB-2026-611),Your payment (Ref: REF/123) for Supplies of bed has been verified and approved. You now have access to view and download the ITT document.,2.0,,False,2026-08-31 23:39:30.530,2026-08-31 21:39:26.683
11,2,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder BURS has submitted proof of payment (Ref: Allen Machona, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 22:00:31.417
12,3,,payment_submitted,Payment Proof Submitted: TB-2026-611,"Bidder BURS has submitted proof of payment (Ref: Allen Machona, Amount: BWP 555.00) for Supplies of bed. Please review and verify.",2.0,,True,,2026-08-31 22:00:31.467
13,11,,payment_approved,Payment Approved — Tender Documents Unlocked (TB-2026-611),Your payment (Ref: Allen Machona) for Supplies of bed has been verified and approved. You now have access to view and download the ITT document.,2.0,,False,2026-09-01 00:01:19.890,2026-08-31 22:01:16.283
14,1,,status_change,Tender published: TB-2026-301,TOURISIM EQUIPMENT has been published and is now visible to registered bidders.,3.0,,False,,2026-08-31 22:40:03.190
15,8,,status_change,Tender published: TB-2026-301,TOURISIM EQUIPMENT has been published and is now visible to registered bidders.,3.0,,True,,2026-08-31 22:40:03.207
16,9,,status_change,Tender published: TB-2026-301,TOURISIM EQUIPMENT has been published and is now visible to registered bidders.,3.0,,False,,2026-08-31 22:40:03.220
17,10,,status_change,Tender published: TB-2026-301,TOURISIM EQUIPMENT has been published and is now visible to registered bidders.,3.0,,False,,2026-08-31 22:40:03.223
18,11,,status_change,Tender published: TB-2026-301,TOURISIM EQUIPMENT has been published and is now visible to registered bidders.,3.0,,False,,2026-08-31 22:40:03.233
19,1,,status_change,Submissions open: TB-2026-301,Bid submission is now open for TOURISIM EQUIPMENT. Deadline: 2026-09-03 00:39:00.,3.0,,False,,2026-08-31 22:40:04.407
20,8,,status_change,Submissions open: TB-2026-301,Bid submission is now open for TOURISIM EQUIPMENT. Deadline: 2026-09-03 00:39:00.,3.0,,True,,2026-08-31 22:40:04.440
21,9,,status_change,Submissions open: TB-2026-301,Bid submission is now open for TOURISIM EQUIPMENT. Deadline: 2026-09-03 00:39:00.,3.0,,False,,2026-08-31 22:40:04.457
22,10,,status_change,Submissions open: TB-2026-301,Bid submission is now open for TOURISIM EQUIPMENT. Deadline: 2026-09-03 00:39:00.,3.0,,False,,2026-08-31 22:40:04.487
23,11,,status_change,Submissions open: TB-2026-301,Bid submission is now open for TOURISIM EQUIPMENT. Deadline: 2026-09-03 00:39:00.,3.0,,False,,2026-08-31 22:40:04.503
24,2,,payment_submitted,Payment Proof Submitted: TB-2026-301,"Bidder Construction has submitted proof of payment (Ref: Ref/78891, Amount: BWP 300.00) for TOURISIM EQUIPMENT. Please review and verify.",3.0,,True,,2026-08-31 22:40:41.913
25,3,,payment_submitted,Payment Proof Submitted: TB-2026-301,"Bidder Construction has submitted proof of payment (Ref: Ref/78891, Amount: BWP 300.00) for TOURISIM EQUIPMENT. Please review and verify.",3.0,,True,,2026-08-31 22:40:41.920
26,8,,payment_approved,Payment Approved — Tender Documents Unlocked (TB-2026-301),Your payment (Ref: Ref/78891) for TOURISIM EQUIPMENT has been verified and approved. You now have access to view and download the ITT document.,3.0,,True,2026-09-01 00:41:19.010,2026-08-31 22:41:13.987
27,1,,status_change,Tender published: TB-2026-979,GUIDE US has been published and is now visible to registered bidders.,4.0,,False,,2026-08-31 22:47:03.653
28,8,,status_change,Tender published: TB-2026-979,GUIDE US has been published and is now visible to registered bidders.,4.0,,True,,2026-08-31 22:47:03.670
29,9,,status_change,Tender published: TB-2026-979,GUIDE US has been published and is now visible to registered bidders.,4.0,,False,,2026-08-31 22:47:03.670
30,10,,status_change,Tender published: TB-2026-979,GUIDE US has been published and is now visible to registered bidders.,4.0,,False,,2026-08-31 22:47:03.687
31,11,,status_change,Tender published: TB-2026-979,GUIDE US has been published and is now visible to registered bidders.,4.0,,False,,2026-08-31 22:47:03.687
32,1,,status_change,Submissions open: TB-2026-979,Bid submission is now open for GUIDE US. Deadline: 2026-09-02 00:46:00.,4.0,,False,,2026-08-31 22:47:05.240
33,8,,status_change,Submissions open: TB-2026-979,Bid submission is now open for GUIDE US. Deadline: 2026-09-02 00:46:00.,4.0,,True,,2026-08-31 22:47:05.253
34,9,,status_change,Submissions open: TB-2026-979,Bid submission is now open for GUIDE US. Deadline: 2026-09-02 00:46:00.,4.0,,False,,2026-08-31 22:47:05.253
35,10,,status_change,Submissions open: TB-2026-979,Bid submission is now open for GUIDE US. Deadline: 2026-09-02 00:46:00.,4.0,,False,,2026-08-31 22:47:05.270
36,11,,status_change,Submissions open: TB-2026-979,Bid submission is now open for GUIDE US. Deadline: 2026-09-02 00:46:00.,4.0,,False,,2026-08-31 22:47:05.270
37,1,,status_change,Tender published: TB-2026-261,WEB has been published and is now visible to registered bidders.,5.0,,False,,2026-08-31 22:51:33.207
38,8,,status_change,Tender published: TB-2026-261,WEB has been published and is now visible to registered bidders.,5.0,,True,,2026-08-31 22:51:33.223
39,9,,status_change,Tender published: TB-2026-261,WEB has been published and is now visible to registered bidders.,5.0,,False,,2026-08-31 22:51:33.240
40,10,,status_change,Tender published: TB-2026-261,WEB has been published and is now visible to registered bidders.,5.0,,False,,2026-08-31 22:51:33.257
41,11,,status_change,Tender published: TB-2026-261,WEB has been published and is now visible to registered bidders.,5.0,,False,,2026-08-31 22:51:33.273
42,1,,status_change,Submissions open: TB-2026-261,Bid submission is now open for WEB. Deadline: 2026-09-02 13:51:00.,5.0,,False,,2026-08-31 22:51:34.693
43,8,,status_change,Submissions open: TB-2026-261,Bid submission is now open for WEB. Deadline: 2026-09-02 13:51:00.,5.0,,True,,2026-08-31 22:51:34.703
44,9,,status_change,Submissions open: TB-2026-261,Bid submission is now open for WEB. Deadline: 2026-09-02 13:51:00.,5.0,,False,,2026-08-31 22:51:34.717
45,10,,status_change,Submissions open: TB-2026-261,Bid submission is now open for WEB. Deadline: 2026-09-02 13:51:00.,5.0,,False,,2026-08-31 22:51:34.727
46,11,,status_change,Submissions open: TB-2026-261,Bid submission is now open for WEB. Deadline: 2026-09-02 13:51:00.,5.0,,False,,2026-08-31 22:51:34.733
47,2,,payment_submitted,Payment Proof Submitted: TB-2026-261,"Bidder BURS has submitted proof of payment (Ref: REF/123, Amount: BWP 32.84) for WEB. Please review and verify.",5.0,,True,,2026-08-31 22:59:19.290
48,3,,payment_submitted,Payment Proof Submitted: TB-2026-261,"Bidder BURS has submitted proof of payment (Ref: REF/123, Amount: BWP 32.84) for WEB. Please review and verify.",5.0,,True,,2026-08-31 22:59:19.333
49,11,,payment_approved,Payment Approved — Tender Documents Unlocked (TB-2026-261),Your payment (Ref: REF/123) for WEB has been verified and approved. You now have access to view and download the ITT document.,5.0,,False,2026-09-01 00:59:56.123,2026-08-31 22:59:51.340
50,1,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,False,,2026-09-01 01:16:02.090
51,8,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,True,,2026-09-01 01:16:02.123
52,9,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,False,,2026-09-01 01:16:02.153
53,10,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,False,,2026-09-01 01:16:02.177
54,11,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,False,,2026-09-01 01:16:02.197
55,12,,status_change,Tender published: TB-2026-759,SUPPLY FOR COOKING OIL has been published and is now visible to registered bidders.,11.0,,False,,2026-09-01 01:16:02.220
56,1,,status_change,Submissions open: TB-2026-759,Bid submission is now open for SUPPLY FOR COOKING OIL. Deadline: 2026-09-02 11:00:00.,11.0,,False,,2026-09-01 01:16:03.567
